"town";"year";"kod";"area";"pop";"type";"nuts3";"nuts4"
"Alap";2017;2682;48.29;2003;"község";"Fejér";"Sárbogárdi"
"Alap";2018;2682;48.29;1956;"község";"Fejér";"Sárbogárdi"
"Alap";2019;2682;48.29;1949;"község";"Fejér";"Sárbogárdi"
"Alap";2015;2682;48.29;1991;"község";"Fejér";"Sárbogárdi"
"Alattyán";2021;2526;34.29;2066;"község";"Jász-Nagykun-Szolnok";"Jászapáti"
"Alattyán";2018;2526;34.29;2033;"község";"Jász-Nagykun-Szolnok";"Jászapáti"
"Alattyán";2015;2526;34.29;2025;"község";"Jász-Nagykun-Szolnok";"Jászapáti"
"Alattyán";2020;2526;34.29;2036;"község";"Jász-Nagykun-Szolnok";"Jászapáti"
"Alattyán";2022;2526;34.29;2112;"község";"Jász-Nagykun-Szolnok";"Jászapáti"
"Alattyán";2019;2526;34.29;2023;"község";"Jász-Nagykun-Szolnok";"Jászapáti"
"Alattyán";2016;2526;34.29;2028;"község";"Jász-Nagykun-Szolnok";"Jászapáti"
"Alattyán";2017;2526;34.29;2002;"község";"Jász-Nagykun-Szolnok";"Jászapáti"
"Albertirsa";2019;3165;73;13288;"város";"Pest";"Ceglédi"
"Albertirsa";2022;3165;73;13802;"város";"Pest";"Ceglédi"
"Albertirsa";2016;3165;73;12769;"város";"Pest";"Ceglédi"
"Albertirsa";2015;3165;72.96;12616;"város";"Pest";"Ceglédi"
"Albertirsa";2021;3165;73;13685;"város";"Pest";"Ceglédi"
"Albertirsa";2017;3165;73;12839;"város";"Pest";"Ceglédi"
"Albertirsa";2020;3165;73;13503;"város";"Pest";"Ceglédi"
"Albertirsa";2018;3165;73;13087;"város";"Pest";"Ceglédi"
"Alcsútdoboz";2016;1517;50.71;1442;"község";"Fejér";"Bicskei"
"Alcsútdoboz";2020;1517;50.71;1494;"község";"Fejér";"Bicskei"
"Alcsútdoboz";2015;1517;50.71;1461;"község";"Fejér";"Bicskei"
"Alcsútdoboz";2018;1517;50.71;1477;"község";"Fejér";"Bicskei"
"Alcsútdoboz";2019;1517;50.71;1482;"község";"Fejér";"Bicskei"
"Alcsútdoboz";2021;1517;50.71;1521;"község";"Fejér";"Bicskei"
"Alcsútdoboz";2022;1517;50.71;1512;"község";"Fejér";"Bicskei"
"Alcsútdoboz";2017;1517;50.71;1439;"község";"Fejér";"Bicskei"
"Aldebrő";2016;634;21.78;694;"község";"Heves";"Füzesabonyi"
"Aldebrő";2022;634;21.78;711;"község";"Heves";"Füzesabonyi"
"Aldebrő";2018;634;21.78;695;"község";"Heves";"Füzesabonyi"
"Aldebrő";2021;634;21.78;704;"község";"Heves";"Füzesabonyi"
"Aldebrő";2015;634;21.78;700;"község";"Heves";"Füzesabonyi"
"Aldebrő";2017;634;21.78;695;"község";"Heves";"Füzesabonyi"
"Aldebrő";2019;634;21.78;700;"község";"Heves";"Füzesabonyi"
"Aldebrő";2020;634;21.78;694;"község";"Heves";"Füzesabonyi"
"Algy<c5>";2015;3424;75.77;5381;"nagyközség";"Csongrád";"Szegedi"
"Algy<c5>";2019;3424;75.77;5521;"nagyközség";"Csongrád";"Szegedi"
"Algy<c5>";2018;3424;75.77;5473;"nagyközség";"Csongrád";"Szegedi"
"Algy<c5>";2022;3424;75.77;5569;"nagyközség";"Csongrád";"Szegedi"
"Algy<c5>";2017;3424;75.77;5430;"nagyközség";"Csongrád";"Szegedi"
"Algy<c5>";2021;3424;75.77;5580;"nagyközség";"Csongrád";"Szegedi"
