"ind_i";"ind_j";"c_ij";"c_i";"c_j";"c";"c_rel";"cr_norm";"e_id"
51;5;0;0;0;468;NA;-1;304
5;52;0;0;0;468;NA;-1;305
52;5;0;0;0;468;NA;-1;305
5;53;0;0;0;468;NA;-1;306
53;5;0;0;0;468;NA;-1;306
5;55;0;0;0;468;NA;-1;307
55;5;0;0;0;468;NA;-1;307
5;56;0;0;0;468;NA;-1;308
56;5;0;0;0;468;NA;-1;308
5;58;0;0;0;468;NA;-1;309
58;5;0;0;0;468;NA;-1;309
5;59;0;0;0;468;NA;-1;310
59;5;0;0;0;468;NA;-1;310
5;60;0;0;0;468;NA;-1;311
60;5;0;0;0;468;NA;-1;311
5;61;0;0;0;468;NA;-1;312
61;5;0;0;0;468;NA;-1;312
5;62;0;0;0;468;NA;-1;313
62;5;0;0;0;468;NA;-1;313
5;63;0;0;0;468;NA;-1;314
63;5;0;0;0;468;NA;-1;314
5;64;0;0;0;468;NA;-1;315
64;5;0;0;0;468;NA;-1;315
5;65;0;0;0;468;NA;-1;316
65;5;0;0;0;468;NA;-1;316
5;66;0;0;0;468;NA;-1;317
66;5;0;0;0;468;NA;-1;317
5;68;0;0;0;468;NA;-1;318
68;5;0;0;0;468;NA;-1;318
5;69;0;0;0;468;NA;-1;319
69;5;0;0;0;468;NA;-1;319
5;70;0;0;0;468;NA;-1;320
70;5;0;0;0;468;NA;-1;320
5;71;0;0;0;468;NA;-1;321
71;5;0;0;0;468;NA;-1;321
5;72;0;0;0;468;NA;-1;322
72;5;0;0;0;468;NA;-1;322
5;73;0;0;0;468;NA;-1;323
73;5;0;0;0;468;NA;-1;323
5;74;0;0;0;468;NA;-1;324
74;5;0;0;0;468;NA;-1;324
5;75;0;0;0;468;NA;-1;325
75;5;0;0;0;468;NA;-1;325
5;77;0;0;0;468;NA;-1;326
77;5;0;0;0;468;NA;-1;326
5;78;0;0;0;468;NA;-1;327
78;5;0;0;0;468;NA;-1;327
5;79;0;0;0;468;NA;-1;328
79;5;0;0;0;468;NA;-1;328
5;80;0;0;0;468;NA;-1;329
80;5;0;0;0;468;NA;-1;329
5;81;0;0;0;468;NA;-1;330
81;5;0;0;0;468;NA;-1;330
5;82;0;0;0;468;NA;-1;331
82;5;0;0;0;468;NA;-1;331
5;84;0;0;0;468;NA;-1;332
84;5;0;0;0;468;NA;-1;332
5;85;0;0;0;468;NA;-1;333
85;5;0;0;0;468;NA;-1;333
5;86;0;0;0;468;NA;-1;334
86;5;0;0;0;468;NA;-1;334
5;87;0;0;0;468;NA;-1;335
87;5;0;0;0;468;NA;-1;335
5;88;0;0;0;468;NA;-1;336
88;5;0;0;0;468;NA;-1;336
5;90;0;0;0;468;NA;-1;337
90;5;0;0;0;468;NA;-1;337
5;91;0;0;0;468;NA;-1;338
91;5;0;0;0;468;NA;-1;338
5;92;0;0;0;468;NA;-1;339
92;5;0;0;0;468;NA;-1;339
5;93;0;0;0;468;NA;-1;340
93;5;0;0;0;468;NA;-1;340
5;94;0;0;0;468;NA;-1;341
94;5;0;0;0;468;NA;-1;341
5;95;0;0;0;468;NA;-1;342
95;5;0;0;0;468;NA;-1;342
5;96;0;0;0;468;NA;-1;343
96;5;0;0;0;468;NA;-1;343
5;97;0;0;0;468;NA;-1;344
97;5;0;0;0;468;NA;-1;344
5;98;0;0;0;468;NA;-1;345
98;5;0;0;0;468;NA;-1;345
5;99;0;0;0;468;NA;-1;346
